GPS_X	|	GPS_Y		|	Euler_phi		|	Euler_psi		|	Euler_theta	|	Acc_forward	|	Acc_sideways	|	Acc_up	|	Gyro 1	|	Gyro 2	|	Gyro 3	|	Mag_forward	|	Mag_sideways	|	Mag_up	|	Music_Track
334.0	|	424.0	|	2.072985451	|	3.3562982	|	-14.95024837	|	-0.768	|	0.313	|	0.573	|	30.323	|	21.337	|	21.337	|	0.859	|	0.117	|	0.321	|	0.0
321.0	|	410.0	|	2.210452427	|	3.473008591	|	-14.85978116	|	-0.764	|	0.29	|	0.613	|	30.691	|	19.896	|	19.896	|	0.868	|	0.096	|	0.342	|	0.0
312.0	|	393.0	|	2.339071021	|	3.578638486	|	-14.77992496	|	-0.731	|	0.305	|	0.637	|	28.176	|	17.137	|	17.137	|	0.864	|	0.096	|	0.318	|	0.0
315.0	|	370.0	|	2.461723403	|	3.694432788	|	-14.688248	|	-0.757	|	0.336	|	0.627	|	26.276	|	19.958	|	19.958	|	0.859	|	0.088	|	0.363	|	0.0
330.0	|	345.0	|	2.576701617	|	3.815119417	|	-14.5912415	|	-0.758	|	0.365	|	0.591	|	23.639	|	21.463	|	21.463	|	0.859	|	0.104	|	0.332	|	0.0
346.0	|	320.0	|	2.687169133	|	3.935898412	|	-14.49409124	|	-0.764	|	0.372	|	0.564	|	22.412	|	21.526	|	21.526	|	0.856	|	0.105	|	0.366	|	0.0
363.0	|	297.0	|	2.799906679	|	4.042227618	|	-14.41237826	|	-0.779	|	0.404	|	0.554	|	22.842	|	17.827	|	17.827	|	0.855	|	0.113	|	0.344	|	0.0
379.0	|	289.0	|	2.909578034	|	4.134604754	|	-14.34547398	|	-0.791	|	0.431	|	0.541	|	22.106	|	14.191	|	14.191	|	0.855	|	0.112	|	0.377	|	0.0
383.0	|	285.0	|	3.0052103	|	4.212370895	|	-14.29570117	|	-0.816	|	0.425	|	0.533	|	18.917	|	10.179	|	10.179	|	0.843	|	0.122	|	0.351	|	0.0
384.0	|	283.0	|	3.088856426	|	4.286408154	|	-14.25001046	|	-0.8	|	0.406	|	0.535	|	16.096	|	9.113	|	9.113	|	0.843	|	0.118	|	0.373	|	0.0
